               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02335,             0.01289,           0.0087468,             0.92644,             0.90758,             0.96186,             0.79576,             0.02059,            0.005789,           0.0086296,            0.006535,            0.006535,            0.006535
                  37,            0.024074,            0.012543,           0.0088119,              0.9245,             0.91872,             0.96241,             0.79298,            0.020535,           0.0057277,           0.0081831,            0.006436,            0.006436,            0.006436
                  38,            0.023389,            0.012576,           0.0083524,             0.95156,             0.91842,             0.96775,             0.80304,             0.01978,           0.0056529,           0.0075036,            0.006337,            0.006337,            0.006337
                  39,            0.023664,            0.012212,           0.0083728,             0.92297,             0.90591,             0.96149,             0.79764,            0.019357,           0.0057928,           0.0088678,            0.006238,            0.006238,            0.006238
                  40,            0.024147,            0.012452,           0.0078845,             0.92696,             0.91434,             0.96236,             0.80369,            0.021262,           0.0058889,           0.0091234,            0.006139,            0.006139,            0.006139
                  41,            0.023361,            0.012373,           0.0082964,             0.95081,             0.89815,              0.9631,             0.80819,            0.019714,           0.0057316,           0.0071729,             0.00604,             0.00604,             0.00604
                  42,            0.023346,            0.011732,           0.0068788,             0.93992,             0.92837,              0.9701,             0.80508,            0.019731,           0.0055535,           0.0080578,            0.005941,            0.005941,            0.005941
                  43,            0.022663,            0.011642,           0.0066152,             0.93666,             0.91679,             0.96409,             0.80759,            0.020493,           0.0058029,           0.0070412,            0.005842,            0.005842,            0.005842
                  44,            0.022973,            0.011562,           0.0063382,             0.94503,              0.9249,             0.97521,             0.81519,             0.02006,           0.0054008,             0.00933,            0.005743,            0.005743,            0.005743
                  45,            0.023288,            0.011693,           0.0072373,             0.92983,              0.9092,             0.96228,             0.80377,            0.019339,           0.0055063,           0.0078065,            0.005644,            0.005644,            0.005644
                  46,            0.023201,             0.01169,           0.0064225,              0.9554,             0.91681,             0.96767,             0.81995,            0.020526,           0.0055224,           0.0080036,            0.005545,            0.005545,            0.005545
                  47,             0.02207,            0.011739,           0.0063227,             0.94708,             0.91493,             0.97021,             0.82543,            0.019208,           0.0054402,           0.0077122,            0.005446,            0.005446,            0.005446
                  48,            0.021464,            0.011094,           0.0073906,              0.9569,             0.90547,             0.96783,             0.81936,             0.01893,           0.0056084,           0.0082379,            0.005347,            0.005347,            0.005347
                  49,            0.020726,            0.011428,           0.0061327,             0.95329,             0.92894,             0.97297,              0.8277,            0.018767,           0.0054884,           0.0086309,            0.005248,            0.005248,            0.005248
                  50,            0.020816,             0.01109,           0.0059358,             0.96261,             0.92748,              0.9707,             0.82794,            0.019633,           0.0053324,           0.0074792,            0.005149,            0.005149,            0.005149
                  51,            0.020843,            0.010961,           0.0069202,             0.95478,             0.92615,             0.97492,             0.82996,            0.019421,           0.0053034,           0.0077616,             0.00505,             0.00505,             0.00505
                  52,            0.020835,             0.01116,           0.0061154,             0.95136,             0.92967,             0.96535,              0.8264,            0.020329,           0.0054006,           0.0094732,            0.004951,            0.004951,            0.004951
                  53,            0.021273,            0.011111,           0.0061654,             0.95017,             0.90927,             0.96648,             0.82645,            0.019279,           0.0055362,           0.0084012,            0.004852,            0.004852,            0.004852
                  54,            0.020606,            0.010832,             0.00612,             0.95865,             0.93373,             0.97363,              0.8354,            0.018396,           0.0053804,           0.0077456,            0.004753,            0.004753,            0.004753
                  55,            0.019606,            0.010954,           0.0058765,             0.94923,             0.91957,             0.96576,             0.83527,             0.01851,           0.0053735,           0.0077882,            0.004654,            0.004654,            0.004654
                  56,              0.0209,            0.010917,           0.0057435,             0.95415,              0.9256,             0.97086,             0.82949,             0.01915,           0.0054237,           0.0083075,            0.004555,            0.004555,            0.004555
                  57,             0.02055,            0.010474,           0.0058164,             0.94922,              0.9263,             0.97317,             0.83735,            0.018092,           0.0053156,           0.0068268,            0.004456,            0.004456,            0.004456
                  58,            0.020113,            0.010291,           0.0058649,             0.94143,             0.93859,             0.97337,             0.83696,            0.018888,           0.0053582,           0.0072857,            0.004357,            0.004357,            0.004357
                  59,            0.019465,            0.010772,           0.0058376,             0.97039,             0.92942,             0.97412,             0.84479,            0.018368,           0.0052007,           0.0067821,            0.004258,            0.004258,            0.004258
                  60,             0.01896,            0.010558,           0.0045998,             0.94917,             0.92983,             0.97194,             0.84173,             0.01816,           0.0052857,           0.0069448,            0.004159,            0.004159,            0.004159
                  61,            0.019397,            0.010647,           0.0057119,             0.95944,              0.9327,             0.97189,             0.84068,            0.018149,           0.0053432,           0.0066354,             0.00406,             0.00406,             0.00406
                  62,            0.019549,            0.010706,           0.0048673,             0.96214,             0.94532,             0.97617,             0.84943,            0.018861,           0.0052301,            0.007607,            0.003961,            0.003961,            0.003961
                  63,            0.018912,            0.010246,           0.0050263,             0.95013,             0.94181,             0.97652,             0.84858,            0.018201,           0.0051748,           0.0077383,            0.003862,            0.003862,            0.003862
                  64,             0.01828,            0.010275,           0.0049482,             0.95189,             0.92888,             0.97288,             0.84418,            0.018343,           0.0052081,           0.0075895,            0.003763,            0.003763,            0.003763
                  65,            0.019155,            0.010418,           0.0046086,             0.95397,             0.93869,             0.97553,             0.84483,            0.018476,           0.0052834,           0.0079977,            0.003664,            0.003664,            0.003664
                  66,            0.017976,            0.010059,           0.0045863,             0.95777,             0.93386,             0.97634,             0.85498,            0.017662,           0.0051531,           0.0073524,            0.003565,            0.003565,            0.003565
                  67,            0.017832,            0.010065,            0.003964,               0.966,             0.92922,             0.97705,             0.84995,             0.01815,           0.0051727,           0.0069516,            0.003466,            0.003466,            0.003466
                  68,            0.018849,            0.010114,           0.0055824,             0.95846,             0.94433,               0.977,             0.85067,            0.017782,           0.0052342,           0.0070675,            0.003367,            0.003367,            0.003367
                  69,            0.017922,            0.010158,           0.0047134,             0.97062,             0.92989,             0.97653,             0.84966,            0.017459,           0.0053508,           0.0069273,            0.003268,            0.003268,            0.003268
                  70,            0.017108,            0.010033,           0.0042544,             0.95659,             0.94624,             0.97845,             0.85287,            0.017512,           0.0052216,           0.0061288,            0.003169,            0.003169,            0.003169
                  71,            0.018123,           0.0099224,           0.0046691,             0.95588,             0.94162,             0.97755,             0.85308,            0.017981,           0.0052483,           0.0059958,             0.00307,             0.00307,             0.00307
                  72,             0.01779,            0.010164,           0.0045399,             0.95736,             0.93941,             0.97656,             0.85259,            0.017445,           0.0051774,           0.0076298,            0.002971,            0.002971,            0.002971
                  73,            0.016924,           0.0096907,           0.0041536,             0.95106,             0.93647,             0.97569,             0.85391,            0.017426,           0.0051811,           0.0082764,            0.002872,            0.002872,            0.002872
                  74,            0.017351,           0.0097252,           0.0035692,             0.96394,             0.93918,             0.97687,              0.8636,            0.017273,           0.0050514,           0.0065611,            0.002773,            0.002773,            0.002773
                  75,             0.01692,            0.009541,           0.0040335,             0.96661,             0.93706,             0.97756,             0.86486,            0.016643,            0.005072,           0.0064965,            0.002674,            0.002674,            0.002674
                  76,            0.016668,           0.0093815,           0.0043335,             0.95738,             0.94304,             0.97683,             0.86175,            0.016602,           0.0050072,           0.0062707,            0.002575,            0.002575,            0.002575
                  77,            0.016731,            0.009475,           0.0043798,             0.95183,             0.95458,             0.97607,             0.86827,            0.016622,           0.0049574,           0.0059657,            0.002476,            0.002476,            0.002476
                  78,            0.016309,            0.009673,            0.004112,             0.96299,             0.93583,             0.97751,              0.8644,            0.016561,           0.0049617,           0.0064821,            0.002377,            0.002377,            0.002377
                  79,            0.016111,           0.0093844,           0.0035582,             0.97007,             0.94039,             0.97837,             0.86747,             0.01628,           0.0049203,           0.0067616,            0.002278,            0.002278,            0.002278
                  80,            0.016149,           0.0095587,           0.0033695,             0.95648,             0.94219,             0.97751,             0.86653,             0.01636,           0.0048682,           0.0070446,            0.002179,            0.002179,            0.002179
                  81,            0.015761,           0.0092783,           0.0038238,             0.97177,             0.94559,             0.98206,             0.86934,            0.016709,           0.0048656,           0.0070443,             0.00208,             0.00208,             0.00208
                  82,            0.015792,           0.0096835,           0.0034281,               0.957,             0.96058,             0.98265,             0.87071,            0.016412,           0.0048458,           0.0074615,            0.001981,            0.001981,            0.001981
                  83,             0.01562,           0.0093095,           0.0039591,             0.96693,             0.94617,             0.98115,             0.86687,            0.017147,           0.0049396,           0.0079492,            0.001882,            0.001882,            0.001882
                  84,               0.016,           0.0092595,           0.0030252,             0.96404,             0.95173,             0.98022,             0.87133,            0.016517,           0.0049048,            0.007523,            0.001783,            0.001783,            0.001783
                  85,            0.014691,           0.0089283,           0.0031657,                0.97,              0.9483,             0.97912,             0.86931,            0.016302,           0.0049416,           0.0072023,            0.001684,            0.001684,            0.001684
                  86,             0.01504,           0.0089568,           0.0028898,             0.96586,             0.94176,             0.97824,             0.87133,            0.016201,            0.004911,           0.0077547,            0.001585,            0.001585,            0.001585
                  87,            0.015013,           0.0090406,             0.00295,             0.95605,             0.95475,              0.9788,             0.87325,            0.015949,            0.004914,           0.0075698,            0.001486,            0.001486,            0.001486
                  88,            0.014701,           0.0090111,           0.0030473,             0.96123,             0.95615,             0.97979,             0.87453,            0.016123,           0.0048836,           0.0071425,            0.001387,            0.001387,            0.001387
                  89,            0.014585,           0.0087851,           0.0027865,             0.97237,              0.9477,             0.98127,             0.87596,            0.016106,           0.0048725,           0.0071309,            0.001288,            0.001288,            0.001288
                  90,            0.015228,           0.0090268,           0.0030612,             0.96352,             0.96149,             0.98216,             0.87725,            0.016308,           0.0049261,           0.0071146,            0.001189,            0.001189,            0.001189
                  91,            0.014271,           0.0086223,           0.0028706,             0.97196,             0.95077,             0.98177,             0.87565,            0.016143,           0.0048804,           0.0070494,             0.00109,             0.00109,             0.00109
                  92,            0.014261,           0.0086071,           0.0022475,             0.96923,             0.95304,             0.98107,             0.87987,            0.015919,           0.0048555,           0.0069428,            0.000991,            0.000991,            0.000991
                  93,            0.013683,           0.0088513,           0.0025191,              0.9729,             0.94958,             0.98176,             0.87708,            0.015956,           0.0048536,           0.0070377,            0.000892,            0.000892,            0.000892
                  94,            0.013733,           0.0084332,           0.0026724,             0.97135,             0.95781,             0.98118,             0.87822,            0.015754,           0.0049074,            0.007168,            0.000793,            0.000793,            0.000793
                  95,            0.013775,           0.0084512,           0.0032451,             0.96736,             0.95209,             0.98092,              0.8787,            0.015785,           0.0048967,             0.00747,            0.000694,            0.000694,            0.000694
                  96,            0.014236,           0.0087763,           0.0023573,             0.96919,             0.95141,             0.98093,             0.87944,            0.015651,           0.0048527,           0.0075292,            0.000595,            0.000595,            0.000595
                  97,            0.013873,           0.0087084,           0.0031532,             0.97124,             0.94931,             0.98128,             0.88202,            0.015801,           0.0048237,           0.0074892,            0.000496,            0.000496,            0.000496
                  98,            0.013812,           0.0085408,           0.0025088,             0.96673,             0.95494,             0.98022,              0.8811,            0.015947,           0.0048515,           0.0074384,            0.000397,            0.000397,            0.000397
                  99,            0.013682,           0.0085783,           0.0024857,             0.97082,             0.94999,             0.98161,             0.88294,            0.015781,           0.0048403,           0.0073775,            0.000298,            0.000298,            0.000298
